mode,overlay,protocol,depth,fanout,ctas,metric,value,res_span_us,gemm_span_us,concurrent_gemm_tflops,gemm_slowdown,rounds,checksum_ok,payload_granularity
c,isolated,True,0,single,2,GBps,22.371025770374352,23998.514128416627,0.0,,,16384,True,fine
c,isolated,True,0,single,4,GBps,44.04193351490724,12190.169944982392,0.0,,,8192,True,fine
c,isolated,True,0,single,8,GBps,49.13669772132501,10926.090251500327,0.0,,,4096,True,fine
c,isolated,True,0,single,16,GBps,48.35771912469797,11102.088846777246,0.0,,,2048,True,fine
c,isolated,True,0,single,32,GBps,48.52962097095782,11062.805370758504,0.0,,,1024,True,fine
c,isolated,True,0,single,64,GBps,48.48929142723029,11072.019641932884,0.0,,,512,True,fine
c,reserve_control,False,0,single,1,TFLOPS,574.5315336739751,19072.338161717373,19311.753802889783,574.5315336739751,,32768,,fine
c,reserve_control,False,0,single,2,TFLOPS,556.5950100040068,9902.163140356415,10141.9497587143,556.5950100040068,,16384,,fine
c,reserve_control,False,0,single,4,TFLOPS,562.838906939544,8885.44501830323,9121.772525066814,562.838906939544,,8192,,fine
c,reserve_control,False,0,single,8,TFLOPS,562.3331978229194,9834.20413054145,10065.232679398985,562.3331978229194,,4096,,fine
c,reserve_control,False,0,single,16,TFLOPS,555.8145419954018,9873.948821439431,10107.128035331683,555.8145419954018,,2048,,fine
c,reserve_control,False,0,single,32,TFLOPS,530.9525730478999,9973.04986201351,10204.309018310663,530.9525730478999,,1024,,fine
c,reserve_control,False,0,single,64,TFLOPS,501.49092439991915,9966.256968955138,10182.015294745663,501.49092439991915,,512,,fine
c,concurrent,False,1,single,1,GBps,16.157175254683523,33228.30618612456,33441.32228866569,591.3101644995824,0.9716246534679363,32768,True,fine
c,concurrent,False,1,single,2,GBps,31.566133287925762,17007.905269802955,17229.15806850269,577.7816085887223,0.963331130188679,16384,True,fine
c,concurrent,False,1,single,4,GBps,49.9790261927445,10741.930158142944,10963.779528262563,543.7517342944784,1.035102734283379,8192,True,fine
c,concurrent,False,1,single,8,GBps,49.59199097661653,10825.77601526564,11024.790235657674,351.1535280944656,1.6013884322177256,4096,True,fine
c,concurrent,False,1,single,16,GBps,49.158055538030055,10921.322693346445,11121.880980942888,197.1649931674989,2.8190325932921416,2048,True,fine
c,concurrent,False,1,single,32,GBps,48.921661623090216,10974.096704582953,11170.694560064187,144.77840589983236,3.6673464509289415,1024,True,fine
c,concurrent,False,1,single,64,GBps,48.80789074652252,10999.694130380769,11181.528096521115,118.24305120819325,4.241187277186653,512,True,fine
c,concurrent,True,1,single,1,GBps,8.81526919576604,60905.30976879222,61162.79300153833,593.2785732947638,0.9684009494617727,32768,True,fine
c,concurrent,True,1,single,2,GBps,15.001891943501562,35787.50733974362,36005.72714929182,562.3776664749256,0.9897174855695009,16384,True,fine
c,concurrent,True,1,single,4,GBps,28.685653003831767,18750.08431766931,18915.490010339334,514.6281312705321,1.093680801222404,8192,True,fine
c,concurrent,True,1,single,8,GBps,44.29059997257157,12125.434426116899,12324.714346385015,354.7698466425161,1.5850648050975835,4096,True,fine
c,concurrent,True,1,single,16,GBps,47.4226108845679,11321.035571080776,11511.778002877745,213.52014933515562,2.603101129921738,2048,True,fine
c,concurrent,True,1,single,32,GBps,48.275969726294846,11120.873326695853,11310.65322309267,133.80642720236074,3.9680647944131966,1024,True,fine
c,concurrent,True,1,single,64,GBps,48.36325726995561,11100.805466243706,11290.790904054098,83.15339086725918,6.0309137026109685,512,True,fine
c,isolated,False,1,single,1,GBps,21.59947278191327,24855.912588923667,0.0,,,32768,True,fine
c,isolated,False,1,single,2,GBps,42.92171562469832,12508.152538192282,0.0,,,16384,True,fine
c,isolated,False,1,single,4,GBps,51.22379402993036,10481.047972265043,0.0,,,8192,True,fine
c,isolated,False,1,single,8,GBps,49.77161033957585,10786.698080660473,0.0,,,4096,True,fine
c,isolated,False,1,single,16,GBps,49.47673719757599,10850.977397851937,0.0,,,2048,True,fine
c,isolated,False,1,single,32,GBps,49.39438458476626,10869.15527994024,0.0,,,1024,True,fine
